A1BG	0	9	0	0	32	0	38	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	35	646	8	427	51	513	467	12	552	554	258	439	702	1254	246	4	215	124	162
A4GNT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	83	708	636	319	14	3	703	50	604	664	76	117	112	917	184	54	346	273	97
AACS	0	0	129	0	0	180	0	0	8	0	30	0	1	493	0	0	0	189	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	7	0	0	99	0	14	0	34	0	50	74	0	0	0	0	6
AAED1	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	9	1727	514	792	32	183	1575	25	436	825	120	2	1772	1194	215	0	117	0	132
AAK1	0	107	75	175	24	126	198	59	179	247	10	382	562	319	66	0	62	288	71
AAMDC	64	1049	141	1059	49	119	347	108	544	792	128	820	1102	625	274	0	154	186	55
AAMP	258	4812	2558	3422	431	597	6844	177	3281	5377	756	2692	3286	5671	400	142	1322	1013	1271
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	989	94	1475	3	32	1880	254	1364	668	141	257	135	1879	277	0	1	276	76
AARD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AARS	46	725	0	218	200	74	324	117	1210	204	195	456	1097	543	222	0	149	381	0
AARS2	135	14	0	421	50	72	509	44	242	278	44	594	509	587	217	24	58	273	143
AARSD1	0	30	11	29	0	1	18	2	0	10	6	13	0	47	10	0	1	1	0
AASDH	8	115	244	114	24	0	172	0	73	236	10	35	14	250	48	0	51	19	8
AASDHPPT	18	539	227	321	78	56	746	28	679	470	18	87	415	751	89	4	126	104	11
AASS	0	5	236	74	0	30	103	1	325	502	4	223	45	517	37	0	66	5	17
AATF	70	1780	675	2386	250	342	2964	34	2902	1169	325	1281	1296	2037	613	124	586	749	459
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	24	0	0	11	0	0	0	0	8	2	0	0	0	0	0	0	0
ABCA1	0	185	0	84	8	22	183	10	0	32	0	0	480	116	14	0	27	4	1
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	83	11	83	21	0	62	0	132	67	0	9	26	45	0	4	3	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
