A1BG	0	0	9	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	0	0	0	3	0	2	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
A4GALT	258	124	334	521	236	1574	200	596	267	1229	919	274	94	192	1064	715	340	188	329	799	297	357	89	413	307	181	311	45	163	120	248	184
A4GNT	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	366	152	509	846	314	1567	611	860	294	1512	1150	376	55	349	1216	623	216	262	864	880	376	233	346	587	491	125	583	5	99	39	140	241
AACS	0	26	22	0	0	48	0	36	0	53	0	10	0	0	51	0	0	2	17	0	0	0	22	67	11	0	25	0	0	0	31	38
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	2	7	0	4	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	5	0	5	0	0	0	0	0	0	0	4
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	18	16	0	52	0	25	0	13	23	8	0	0	0	0	0	2	0	18	0	0	0	0	36	0	0	0	0	0	0	0
AAED1	0	0	20	34	0	27	67	8	7	10	40	0	0	35	8	0	0	9	0	12	0	0	0	4	0	0	0	18	22	16	16	0
AAGAB	151	239	169	132	80	492	131	386	17	438	632	50	37	140	322	305	8	40	230	113	144	43	188	224	271	31	113	78	40	0	6	99
AAK1	56	82	27	56	9	31	0	1	14	79	139	22	4	23	136	2	23	12	65	107	10	28	17	35	8	19	11	0	1	42	4	22
AAMDC	63	48	32	82	32	273	82	49	71	130	184	61	26	8	327	0	19	32	165	228	22	28	11	224	92	20	18	12	28	0	51	87
AAMP	883	622	792	2160	830	4155	654	2250	527	3510	3540	1172	769	660	3203	1194	949	464	1824	1438	848	875	570	1966	1026	587	1336	274	308	461	532	479
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	232	125	277	236	211	944	125	237	80	723	505	378	3	108	530	80	335	180	544	439	155	380	124	473	106	37	339	69	63	43	91	162
AARD	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	98	0	120	464	104	218	105	162	4	294	317	144	34	120	289	45	41	34	192	101	39	77	59	326	76	33	77	0	1	0	7	82
AARS2	231	29	113	334	182	722	48	262	98	457	518	186	86	51	735	267	227	155	191	158	92	174	64	254	132	49	172	0	25	4	160	39
AARSD1	3	2	12	3	5	9	3	7	0	14	16	4	0	7	8	13	2	3	3	12	4	3	2	9	2	3	7	0	2	1	3	4
AASDH	12	1	28	46	6	52	0	52	3	98	124	41	0	11	94	0	3	0	98	62	12	67	18	288	27	33	7	0	24	0	56	6
AASDHPPT	181	44	130	244	61	801	117	366	148	452	636	59	56	109	623	255	131	49	380	193	139	201	231	423	265	42	256	44	163	122	48	154
AASS	58	0	33	9	36	122	0	1	0	108	113	9	0	35	209	108	49	3	0	168	50	0	19	0	181	43	20	0	12	49	4	5
AATF	425	269	305	593	166	1315	216	485	225	758	900	250	265	348	947	188	106	121	834	613	267	334	296	793	320	244	489	86	83	82	87	268
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	17	7	0	0	28	57	36	1	24	0	1	0	0	2	0	0	5	17	0	12	0	0	1	7	0	6	0	0	28	4	0
ABCA1	0	0	0	0	3	27	0	10	0	5	12	0	0	0	0	0	0	0	0	0	1	0	0	0	26	0	11	0	0	0	50	22
ABCA10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ABCA11P	6	0	7	6	3	50	0	40	13	22	70	8	0	25	7	24	5	9	13	10	16	0	9	13	23	6	28	15	18	3	0	10
ABCA12	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ABCA13	7	25	0	11	49	54	0	37	8	48	28	9	51	11	70	216	0	0	0	43	0	74	0	2	20	0	6	0	11	89	11	2
ABCA17P	6	19	0	0	0	13	0	2	0	4	17	16	0	0	12	38	0	3	10	8	0	80	2	15	15	0	18	0	9	46	9	1
ABCA2	28	0	0	0	0	57	0	0	0	1	20	3	0	0	0	0	0	0	0	0	17	43	0	0	0	0	0	0	0	0	0	0
ABCA3	45	0	0	0	0	27	58	0	0	59	7	8	0	14	173	0	0	0	43	0	31	12	16	0	5	0	113	0	21	0	0	62
ABCA4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA5	0	0	0	0	0	0	0	8	0	0	31	6	0	0	20	0	0	0	0	0	0	0	0	42	3	29	0	0	0	0	0	0
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	1	0	1	0	7	22	0	0	0	5	16	0	0	17	0	0	17	19	1	0	7	0	0	0	2	0	0	0	0	0	6	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	19	0	0	0	0	0	0	0	0	0	0	8	0	0	182	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ABCB10	17	0	10	26	11	132	1	35	2	91	25	32	12	9	79	121	0	2	77	37	21	0	39	16	25	6	43	6	0	6	37	28
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	28	0	0	0	16	0	14	0	0	0	0	0	0	0	0	0	0
ABCB6	124	84	374	825	147	1185	51	743	24	723	764	272	148	210	51	0	202	84	557	259	287	374	188	917	207	211	573	2	60	72	64	224
ABCB7	108	38	29	86	67	204	52	158	0	124	165	69	46	82	0	118	3	14	33	68	35	29	16	96	35	38	45	47	10	0	7	56
ABCB8	460	169	379	752	266	1983	222	1009	386	1757	778	390	138	329	1294	1032	387	289	366	951	330	181	219	588	360	171	748	50	130	80	113	311
ABCB9	0	0	14	0	0	16	0	0	0	20	10	0	0	0	0	0	0	12	1	0	0	0	0	0	9	0	1	0	0	0	0	0
ABCC1	29	0	9	0	0	45	1	47	0	101	22	38	38	4	0	103	0	20	110	0	28	20	9	124	0	0	16	0	0	0	44	0
ABCC10	0	0	35	23	29	110	0	27	6	126	84	29	0	0	5	0	32	1	46	0	12	64	3	87	0	36	3	0	0	0	0	26
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ABCC13	46	24	30	41	0	76	31	47	20	47	48	25	13	33	79	2	0	5	52	0	0	10	14	34	33	29	35	0	27	92	3	14
ABCC2	0	0	0	17	0	0	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	3	11	3	1	0	0	0	4
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	19	76	63	140	46	329	0	61	48	88	100	102	31	43	81	88	51	17	0	79	43	42	23	14	154	42	44	1	19	41	42	30
ABCC5	39	46	68	147	81	409	120	200	15	191	183	73	51	136	610	26	11	32	166	85	93	159	34	186	162	5	65	55	35	0	43	28
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	5
ABCC6P1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	4	0	0	0	7	2	0	0	0	2	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	0	0	0	0	0	0	0	23	0	0	0	12	0	0	24	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCD3	7	66	142	58	69	664	0	277	48	361	394	49	90	93	310	174	171	14	125	64	48	92	116	0	302	87	81	29	2	32	86	70
ABCD4	73	99	44	92	126	114	0	82	0	158	112	19	0	32	140	111	30	24	84	189	16	13	12	383	86	0	25	0	26	48	9	20
