A1BG	11	7	0	0	19	0	0	19	0	0	0	0	0	1	31	27	0	0	0	49	0	0	0
A1BG-AS1	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	5	0	0
A1CF	0	0	1	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	10	0	0
A2M	0	1	0	0	1	17	0	1	2	1	26	3	21	10	0	8	0	0	0	0	110	0	0
A2M-AS1	0	0	0	0	0	0	0	32	0	7	0	0	0	33	0	0	0	0	0	0	0	0	0
A2ML1	47	0	0	33	0	52	0	0	61	21	7	10	2	9	1	0	119	23	0	0	104	4	63
A2MP1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
A4GALT	193	479	111	165	662	116	17	202	247	125	537	179	574	439	268	424	88	267	175	339	602	138	356
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	177	130	16	10	647	35	5	135	292	2	64	0	353	175	2	487	56	258	108	236	131	59	350
AACS	24	138	16	0	155	13	3	5	28	33	30	68	9	35	7	85	4	18	15	175	60	4	126
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AADAC	0	0	0	0	0	0	0	0	0	25	0	15	0	1	0	0	0	4	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	8	0	0	0	0	9	13	11
AADACL2-AS1	46	9	0	8	3	3	0	0	12	25	0	34	0	32	0	2	13	4	0	0	30	0	38
AADACL3	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	1	0	0	0	0	0	0	0
AADACL4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	2	9	3	0	0	0	0	0	21	0	1	0	1	0	0
AADAT	88	76	22	9	72	6	0	0	20	32	1	32	27	2	15	4	2	34	39	2	79	3	248
AAED1	78	178	0	127	366	7	0	0	47	6	70	18	26	94	100	111	36	122	29	116	68	0	1
AAGAB	333	429	52	40	392	90	11	230	367	293	118	253	596	531	508	258	418	243	294	4	584	115	594
AAK1	665	468	39	125	352	122	11	376	647	846	348	344	214	1646	414	193	328	293	427	369	1229	80	731
AAMDC	1	51	0	0	78	4	1	14	28	0	1	18	0	58	0	17	26	11	24	60	65	25	0
AAMP	2450	1862	151	472	2517	473	60	763	1397	542	642	1669	1361	3063	2526	1238	2175	1523	1076	1630	2112	296	2546
AANAT	0	0	0	0	9	0	0	0	0	2	1	0	2	0	0	0	0	0	7	0	0	0	0
AAR2	245	516	36	98	626	45	5	105	206	82	87	171	330	617	426	248	230	339	155	7	113	81	383
AARD	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0
AARS	766	384	100	123	553	120	12	236	511	169	428	497	476	1056	555	389	589	587	339	340	562	36	823
AARS2	243	152	45	32	279	37	3	0	55	140	125	12	225	216	62	91	62	84	185	220	317	0	88
AARSD1	5	1	0	0	11	1	0	1	3	0	4	2	5	3	3	7	4	7	1	1	4	0	2
AASDH	134	68	0	2	141	41	0	76	67	43	26	42	69	127	260	71	13	69	23	0	115	25	263
AASDHPPT	220	189	41	87	524	124	4	218	316	56	57	64	40	371	531	338	370	234	365	398	337	1	187
AASS	151	201	29	66	234	86	8	32	254	231	151	100	42	478	17	33	176	62	92	36	335	16	145
AATF	616	633	120	252	1073	357	22	319	763	127	490	400	456	1012	1303	543	638	731	98	925	1022	156	659
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	13	5	0	0	7	0	2	0	0	3	0	0	1	5	27	0	0	0	0	0	0	0	0
ABCA1	31	147	1	21	611	5	1	0	0	2	168	20	442	111	39	173	3	165	11	55	184	18	4
ABCA10	0	2	0	0	1	0	0	0	0	47	0	0	0	0	0	0	0	0	6	0	0	0	0
ABCA11P	22	23	2	29	22	4	1	0	22	84	66	34	29	91	11	29	48	34	5	8	32	4	8
ABCA12	2	0	0	0	0	0	0	2	0	28	0	2	0	0	0	1	0	0	0	0	59	0	6
ABCA13	3	0	0	1	1	0	0	3	0	5	0	0	4	15	6	10	0	0	18	0	22	0	82
ABCA17P	0	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	0	0	7	0	0	0	0
ABCA2	12	15	0	0	3	0	1	0	0	0	23	0	0	27	6	0	0	0	0	0	0	1	0
ABCA3	3	0	0	0	0	0	0	0	0	1	0	0	0	1	25	0	0	0	0	0	0	0	8
ABCA4	34	0	0	0	0	0	0	0	0	0	13	0	0	3	0	15	37	0	0	0	5	0	0
ABCA5	0	0	0	0	0	0	0	0	0	4	0	1	0	31	0	0	0	10	0	0	9	0	52
ABCA6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	27	8	0	9	58	25	0	0	25	45	27	0	20	104	91	37	0	8	8	23	77	5	147
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0
ABCA9	0	0	0	0	0	0	0	0	0	17	0	0	2	0	0	1	1	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
ABCB10	54	3	0	0	121	0	0	47	61	16	30	24	11	87	68	113	14	5	57	73	34	28	34
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ABCB4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	9	0	0
ABCB5	4	0	0	0	33	0	0	0	0	3	0	0	4	0	0	5	0	0	0	46	5	0	0
ABCB6	1040	599	174	257	1520	313	29	297	606	600	554	1073	666	1969	972	433	1161	660	426	142	1665	110	1610
ABCB7	76	44	19	0	426	27	2	3	38	22	3	57	140	82	27	111	77	23	38	5	77	0	199
ABCB8	395	192	6	101	546	12	12	126	194	123	250	120	149	404	192	174	229	300	267	88	467	54	451
ABCB9	14	0	0	11	25	0	0	67	0	5	0	0	0	108	0	0	0	3	0	0	22	0	0
ABCC1	94	0	0	0	18	0	3	2	34	5	49	0	49	54	14	44	0	36	0	0	88	0	157
ABCC10	241	75	0	16	248	21	3	26	65	19	193	3	95	222	40	64	115	70	118	0	321	2	138
ABCC11	0	0	0	0	0	0	0	0	0	0	31	0	15	0	0	0	0	0	0	0	0	1	0
ABCC12	0	0	0	2	16	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1	0	0
ABCC2	38	0	0	0	7	3	0	0	0	0	0	0	0	2	0	0	26	0	0	0	13	0	0
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	0	0	0
ABCC4	1	52	16	0	167	19	0	0	0	0	2	0	0	1	0	85	28	60	64	0	18	1	0
ABCC5	1292	284	87	255	622	150	16	185	348	300	17	250	95	736	791	255	442	164	330	34	1119	122	995
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0
ABCC6	0	0	0	0	3	7	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	4	0
ABCC6P1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0
ABCC9	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	1	0
ABCD1	227	67	2	26	57	41	15	27	57	126	0	43	1	71	364	47	77	64	38	26	192	24	133
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	244	298	53	99	447	175	6	262	309	289	161	301	210	708	536	121	446	193	233	115	406	251	458
ABCD4	54	0	10	0	271	19	0	0	7	0	0	1	85	33	45	204	0	48	33	0	15	0	0
ABCE1	934	759	106	220	1251	201	7	293	686	658	264	716	615	1498	1570	647	768	532	454	720	831	167	888
ABCF1	1323	1102	193	429	2430	426	26	790	1592	1085	741	619	847	3332	2203	1009	1455	1059	886	1034	2477	118	1836
ABCF2	975	627	160	124	1225	183	21	387	869	251	692	645	691	1581	750	727	1149	709	621	742	912	265	1590
ABCF3	543	516	71	93	774	137	13	163	485	170	330	413	320	823	759	488	693	663	319	192	794	0	534
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	82
ABCG2	1751	1421	106	160	83	434	10	494	557	615	422	961	91	1897	904	340	838	767	958	418	1014	149	1931
ABCG4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	2	5	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
ABHD10	163	140	9	13	203	2	1	1	98	110	90	69	103	97	186	37	112	169	99	167	123	45	242
ABHD11	764	320	47	66	346	134	10	122	320	131	11	334	122	863	513	150	202	343	360	352	584	38	503
ABHD12	566	602	34	139	522	44	10	398	319	170	168	369	170	1206	1215	164	247	279	256	527	1187	75	751
ABHD12B	147	106	0	0	18	0	1	83	0	65	80	59	0	46	0	214	6	80	11	98	32	26	0
ABHD13	182	78	8	61	286	14	0	114	68	66	0	86	79	90	67	101	166	56	108	0	242	0	251
ABHD14A	21	11	0	0	48	0	1	0	0	2	9	3	10	46	39	12	42	13	23	1	9	0	13
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
