A1BG	0	22	28	0	12	12	26	16	0	26	1	19	0	0	29	61	29	0	0	0	3	0	33	0	30	28	0	9	1	0	29
A1BG-AS1	0	0	0	12	0	0	15	0	0	0	0	0	0	1	0	0	4	0	4	0	0	5	3	0	0	0	0	3	3	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	12	0	2	0	0	0	0	0	0	0	37	0	0	0	12	0	0	0	5	0	0	0	0	0	10	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	4	0	32	33	0	34	0	0	35	82	93	5	29	0	1	0	0	0	6	7	0	0	26	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	1147	114	924	882	984	420	285	1452	347	1253	679	491	586	805	872	1143	588	546	575	89	87	781	911	456	470	393	522	337	402	727	124
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	9	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	165	12	243	175	428	100	57	175	36	261	356	77	1	56	485	300	236	533	273	292	251	296	265	241	128	101	0	90	178	121	15
AACS	158	96	188	88	306	99	18	167	0	189	222	126	0	48	67	1	161	0	98	258	71	63	91	15	218	140	0	37	68	138	102
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	6	0	0	0	0	0	0	2	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0
AADACL2-AS1	0	16	0	0	29	0	36	7	0	11	11	6	0	0	54	7	49	135	19	55	12	1	28	0	0	0	0	9	15	17	22
AADACL3	0	0	0	0	0	0	0	4	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
AADAT	0	5	30	113	114	21	2	140	0	44	43	9	0	214	0	0	0	0	48	1	0	0	48	0	20	19	0	12	35	4	15
