A1BG	11	12	9	9	1	18	24	0	0	1	42
A1BG-AS1	0	2	0	0	0	0	0	0	0	0	0
A1CF	19	7	12	0	0	0	0	18	0	2	0
A2M	0	0	0	1	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	1	0
A4GALT	151	95	95	31	38	47	107	65	108	4	25
A4GNT	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0
AAAS	283	457	168	118	19	74	227	57	70	3	69
AACS	0	17	0	0	8	0	16	78	0	0	0
AACSP1	1	2	0	0	5	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0
AADACL2	2	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	1	0	0	0	4	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	7	0	0	0	0
AADAT	16	0	0	0	0	0	0	0	0	0	9
AAED1	83	56	0	11	4	12	56	0	22	0	0
AAGAB	305	290	16	61	55	66	20	0	1	5	1
AAK1	37	117	22	86	7	21	16	15	106	1	12
AAMDC	65	35	21	79	13	19	50	14	54	4	15
AAMP	827	622	191	1136	169	204	307	45	119	16	316
AANAT	0	0	0	0	0	0	0	1	0	0	0
AAR2	573	551	275	248	70	208	548	54	51	22	139
AARD	10	0	0	0	0	0	7	0	0	0	0
AARS	5	69	119	52	11	43	20	0	3	1	102
AARS2	105	143	51	92	43	15	139	0	0	0	14
AARSD1	10	7	3	1	0	4	5	0	2	0	1
AASDH	10	74	48	46	15	10	79	0	0	0	35
AASDHPPT	96	91	15	82	4	53	20	8	2	6	64
AASS	141	16	8	19	10	0	8	1	110	0	0
AATF	583	502	193	208	33	91	325	28	91	25	115
AATK	0	6	0	0	7	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0
ABAT	2	58	6	0	3	5	0	0	0	0	0
ABCA1	0	11	0	0	0	28	6	3	2	0	0
ABCA10	41	52	0	18	0	7	16	0	0	0	0
ABCA11P	28	44	15	20	0	1	23	7	7	0	9
ABCA12	0	13	12	1	0	0	0	0	0	0	0
ABCA13	5	7	24	6	0	13	4	0	0	0	16
ABCA17P	58	92	28	7	11	24	43	14	8	2	19
ABCA2	0	8	2	0	5	0	0	0	0	3	0
ABCA3	0	0	21	0	11	19	0	0	0	0	0
ABCA4	1	0	0	0	0	0	25	0	0	0	0
ABCA5	14	9	22	0	0	0	0	18	0	1	0
ABCA6	6	0	0	0	0	0	0	0	0	0	0
ABCA7	63	3	0	3	0	0	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0
ABCB1	22	4	12	62	0	0	25	2	0	0	0
ABCB10	0	20	0	2	15	15	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	11	18	38	38	0	0
ABCB5	0	0	4	0	1	0	0	0	0	4	0
ABCB6	46	16	61	137	45	2	29	1	0	1	0
ABCB7	111	139	73	81	1	0	49	27	0	11	59
ABCB8	85	104	414	264	49	16	119	41	36	7	85
ABCB9	19	0	0	13	0	0	0	23	0	0	0
ABCC1	0	0	0	4	0	0	1	30	0	1	0
ABCC10	2	6	0	0	0	3	0	0	0	0	0
ABCC11	0	0	0	0	0	0	4	0	2	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0
ABCC2	14	28	0	4	0	17	0	0	32	0	0
ABCC3	0	1	0	0	0	20	0	52	12	0	0
ABCC4	40	1	13	0	0	3	14	46	0	0	13
ABCC5	427	226	19	424	89	72	235	47	82	6	117
ABCC5-AS1	1	0	0	0	0	0	1	0	0	0	0
ABCC6	12	6	2	6	0	15	28	80	0	0	33
ABCC6P1	25	44	60	7	11	46	105	157	27	3	41
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0
ABCC8	14	3	0	3	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	19	0	26	0	0	0
ABCD1	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0
ABCD3	258	208	105	151	27	27	244	30	3	13	0
ABCD4	85	94	11	51	20	14	65	156	42	0	0
ABCE1	606	616	210	300	56	118	435	92	53	24	176
ABCF1	1433	1773	763	791	232	449	749	96	236	49	565
ABCF2	1111	979	4020	2863	411	334	3723	446	462	147	976
ABCF3	394	469	107	194	84	78	223	14	110	6	82
ABCG1	0	0	0	0	0	0	0	0	0	0	0
ABCG2	0	9	0	2	1	2	2	1	1	1	0
ABCG4	0	0	4	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	47	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	0
ABHD10	103	160	20	2	14	55	128	32	1	0	42
ABHD11	40	27	21	138	12	1	44	12	16	1	29
ABHD12	41	67	8	46	10	20	7	0	0	0	10
ABHD12B	170	135	10	7	0	42	0	0	0	0	31
ABHD13	159	346	11	29	1	73	63	0	23	3	0
ABHD14A	0	0	0	0	0	0	10	0	0	0	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	58	216	59	2	2	76	37	0	34	0	0
ABHD15	32	13	0	0	0	0	0	0	0	0	0
ABHD16A	42	143	24	34	0	21	72	29	44	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	1	0	0	0	0	0	0	0	0	0	1
ABHD17B	20	46	12	0	0	6	0	0	2	0	1
ABHD17C	88	5	0	17	6	22	3	0	42	2	82
ABHD2	69	165	36	60	33	74	169	234	105	2	87
ABHD3	113	153	28	157	29	45	103	2	62	7	94
ABHD4	0	0	0	0	0	0	0	0	1	0	0
ABHD5	129	74	28	34	20	47	99	0	3	5	0
ABHD6	0	15	0	0	0	0	0	0	0	2	0
ABHD8	4	0	0	0	0	0	0	0	1	0	1
ABI1	251	145	14	21	16	47	103	47	1	1	122
ABI2	22	64	55	21	16	19	104	63	41	0	0
ABI3	0	3	0	5	0	2	0	0	0	2	0
ABI3BP	0	1	2	0	0	0	0	0	5	0	0
ABL1	91	72	15	0	3	3	127	145	5	0	23
ABL2	87	76	44	49	26	13	52	19	17	1	188
ABLIM1	122	65	18	0	6	43	4	79	15	5	0
ABLIM2	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	0	0	0	0	0	13	0	0	0	0	0
ABO	0	0	0	2	0	0	0	0	0	0	0
ABR	11	36	6	0	0	13	24	28	1	0	5
ABRA	0	0	0	0	0	0	0	0	0	0	0
ABRACL	68	11	10	13	0	0	10	0	11	0	7
ABT1	899	1322	620	672	152	283	852	50	116	16	688
ABTB1	23	13	0	17	4	16	37	1	0	0	0
ABTB2	20	16	7	96	45	19	26	20	0	0	0
AC093375.1	0	2	0	0	0	0	0	0	0	0	0
ACAA1	33	33	0	20	3	0	36	46	11	8	0
ACAA2	82	189	27	63	4	27	43	42	24	1	1
ACACA	93	71	2	5	15	20	41	0	1	1	14
