A1BG	14	2	30	11	115	15	93	15	64	143	23	0	0	101	18	0	64	109
A1BG-AS1	0	0	9	21	5	6	0	10	7	14	19	0	0	4	0	0	23	7
A1CF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	5	0	0	0	0	0	9	8	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	6	1	0	14	3	5	6	3	14	4	1	0	0	18	5	13	2
A4GALT	305	466	637	685	595	563	685	770	860	469	393	741	613	1333	228	275	558	598
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	305	320	518	262	366	556	376	424	490	1255	283	385	2	887	190	300	548	222
AACS	0	71	0	2	0	0	67	0	0	0	26	0	0	0	0	31	0	22
AACSP1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	7	12	13	0	15	3	17	17	0	0	0	0	5	3	11	4
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	13	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
AAED1	0	0	24	0	64	48	26	0	27	0	19	19	0	38	0	0	0	0
AAGAB	429	279	88	659	278	369	135	142	166	540	28	361	117	375	149	235	372	111
AAK1	168	75	117	460	188	157	129	122	21	142	157	220	0	57	100	47	140	231
AAMDC	590	301	232	391	530	236	740	334	486	324	179	423	338	735	188	505	782	493
AAMP	2455	1751	1807	3392	2268	2140	2972	1294	2202	2702	811	1494	1969	2846	1751	1189	3987	1007
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	319	426	660	843	1155	848	847	206	182	588	346	559	228	1147	322	269	956	450
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	320	300	421	588	317	158	67	186	462	428	392	523	0	424	359	182	308	253
AARS2	119	119	240	775	64	239	107	553	34	239	176	349	353	254	109	165	245	217
AARSD1	5	0	9	2	15	2	11	3	3	11	2	3	0	5	2	11	4	3
AASDH	39	131	21	120	162	102	118	207	130	73	75	65	5	384	48	32	172	132
AASDHPPT	361	447	76	310	315	435	374	210	619	196	97	184	60	201	214	275	322	313
AASS	16	0	3	42	8	56	23	15	0	0	18	202	0	8	40	0	0	7
AATF	940	229	699	686	1040	733	586	417	549	846	546	578	1	707	388	502	790	478
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	40	8	39	10	5	53	8	32	31	8	5	2	15	0	237	87	0	55
ABCA1	311	42	0	51	14	9	53	146	30	0	0	34	0	37	15	0	48	71
ABCA10	0	0	2	0	0	0	26	0	0	0	0	3	0	0	0	48	0	0
ABCA11P	76	16	64	40	32	53	19	23	2	21	15	50	0	51	11	62	45	30
ABCA12	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3	0	0
ABCA13	81	12	41	25	17	56	0	0	15	63	23	94	0	100	0	0	30	37
ABCA17P	99	190	219	595	511	266	657	240	291	306	396	559	247	315	236	456	310	315
ABCA2	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	2
ABCA3	0	0	0	0	0	35	0	13	0	0	15	100	0	1	10	24	99	28
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	123	0	0	0	0	0	0	1	37	0	0	0	0	0	0
ABCA6	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	5	0	0	0	6	0	0	7	12	0	5	1	0	0	9
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	2	254	0	0	0	0	0	0	64	25	0	0	0	0	0	0
ABCB10	28	112	20	38	29	96	60	63	48	0	126	166	0	66	8	8	3	69
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	1	0	0	0	1	0	0	2	1	0	47	19	0	0	0
ABCB6	185	0	163	399	168	91	237	41	160	382	0	21	1	184	49	37	0	143
ABCB7	288	138	46	0	40	0	49	27	43	85	41	61	0	206	37	117	248	36
ABCB8	207	321	471	377	439	237	665	687	590	293	192	268	0	573	338	371	710	364
ABCB9	71	2	0	107	4	0	116	0	0	0	45	13	0	89	0	3	0	33
ABCC1	19	0	25	68	6	0	29	31	121	0	45	40	0	0	0	98	0	82
ABCC10	13	0	0	87	0	43	9	2	0	0	0	0	0	0	0	0	0	0
ABCC11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	17	0	0	0	0	0	0	26	0	0	14	0	0	0	0	0	0
ABCC2	0	0	20	5	0	29	0	1	10	42	6	40	0	0	75	2	2	34
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
