A1BG	0	4	0	0	1	7	2	0	0	0	0	0	0	0	0	0	6	0	1	0	0	8	5	0	0	6	0	0	5	0	0
A1BG-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	1	14	0	0	0	0	7	0	0	0	0	0	0	13	23	0	0	14	0	0	13	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	528	176	88	987	141	937	74	295	43	1577	531	1541	1163	1818	771	201	420	281	512	3	515	712	895	106	862	725	321	339	694	556	335
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	327	145	52	664	97	720	30	211	16	665	289	998	687	954	340	138	201	80	424	6	215	539	323	96	300	399	245	159	129	200	159
AACS	96	31	7	161	32	158	13	102	7	339	229	255	253	223	95	9	236	34	121	0	184	204	180	61	141	215	138	234	91	45	71
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AADACL2	0	1	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0
AADACL2-AS1	2	3	1	0	0	0	1	0	0	8	0	28	0	12	0	0	0	0	13	0	0	0	0	1	1	0	6	0	0	1	0
AADACL3	1	4	2	22	8	91	6	12	2	168	0	49	0	172	76	59	51	0	20	0	0	0	0	26	16	51	52	0	13	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	5	1	33	9	82	10	7	0	18	26	27	0	75	0	12	52	0	49	0	15	53	64	7	55	70	42	1	14	46	42
AAED1	6	2	3	0	5	4	1	0	0	19	23	14	28	23	28	13	1	0	3	0	0	1	0	0	12	35	7	32	0	0	0
AAGAB	71	57	16	298	38	362	25	40	4	458	101	403	378	559	96	56	105	90	223	1	70	294	174	52	281	404	163	72	145	320	154
AAK1	125	23	28	134	13	240	6	53	2	261	108	292	376	357	150	92	111	86	84	1	120	67	57	30	226	224	94	235	146	43	40
AAMDC	23	27	5	19	7	74	6	56	0	94	3	74	61	176	34	39	44	1	219	2	0	98	131	2	56	48	24	34	24	25	0
AAMP	1159	429	163	1748	221	2745	141	605	42	3436	1187	2474	2220	3214	1043	555	683	645	1279	13	772	1662	1255	359	1277	1581	818	431	570	707	742
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	204	64	22	273	33	535	12	93	5	541	108	463	198	449	45	136	78	82	268	6	57	147	137	97	206	378	173	189	77	108	109
AARD	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0
AARS	1054	89	34	684	107	762	58	232	20	1060	503	1080	719	1054	213	111	382	118	655	3	239	1222	487	65	309	503	535	267	267	541	119
AARS2	111	43	9	50	28	227	14	24	4	94	118	212	565	303	17	3	121	105	54	1	72	435	199	10	145	122	81	107	238	304	11
AARSD1	0	2	0	7	0	6	1	4	0	1	7	2	0	6	1	0	2	1	4	0	3	7	0	0	0	3	1	3	4	1	0
AASDH	12	17	10	43	8	64	5	5	0	18	31	38	0	89	82	16	1	0	51	1	0	78	68	15	40	100	30	31	101	67	50
AASDHPPT	53	20	15	360	24	211	21	38	7	315	190	408	123	684	108	33	98	85	299	2	189	438	108	18	262	346	149	192	180	298	89
AASS	0	16	5	77	8	73	1	15	0	104	74	194	116	131	0	22	80	1	80	1	0	68	114	8	118	72	19	0	26	0	8
AATF	269	113	45	612	95	644	56	204	7	967	206	864	429	1127	273	120	315	152	597	8	232	850	232	123	399	467	199	117	98	290	191
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	50	0	0	0	0	0	23	14	0
ABCA1	0	11	1	6	2	14	3	0	1	0	0	47	0	28	17	3	29	0	29	1	0	134	162	0	16	13	19	49	5	0	6
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	48	2	0	24	4	32	1	2	0	45	44	15	0	31	52	11	8	2	5	0	8	20	7	0	7	9	21	5	3	5	0
