A1BG	0	0	0	0	0	0	0	26	23	0	0	17	0	0	0	0	0	37	13	17	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
A2ML1	0	0	0	0	1	0	0	0	0	0	0	0	0	47	0	0	0	10	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	96	20	77	809	105	117	219	1406	407	436	71	415	1076	1385	581	714	845	1036	291	207	274	471	1838	824
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	27	0	20	519	18	0	204	977	476	481	23	382	502	1015	185	269	449	540	376	165	268	720	623	474
AACS	0	0	0	6	9	0	5	0	0	0	0	0	2	88	0	0	9	12	0	0	0	0	1	32
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	8	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	2	0	12	1
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	25	0	0	10	0	0	0	0	0	36	80	0	0	97	0	0	12	1	79	33	9
AAED1	4	0	0	55	0	1	5	28	0	0	0	0	35	54	91	0	80	11	50	15	5	64	27	51
AAGAB	14	2	0	198	20	0	81	248	302	291	54	206	208	210	113	0	216	199	139	119	156	164	330	157
AAK1	0	1	0	96	0	8	10	45	40	13	0	13	40	217	6	188	68	128	11	6	27	96	73	35
AAMDC	19	0	0	119	8	12	85	322	110	73	6	110	160	241	123	23	176	142	116	46	174	233	114	114
AAMP	97	37	7	2009	140	125	389	1705	771	716	116	2696	930	1809	496	676	1349	1430	1112	518	896	1757	1627	1152
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AAR2	22	19	0	182	16	38	71	157	179	59	0	295	107	557	161	85	208	207	308	118	130	286	321	365
AARD	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	7	0	0	3	5	0
AARS	5	18	0	153	8	1	11	149	32	229	17	0	24	173	68	42	74	67	65	15	0	58	193	107
AARS2	51	0	98	486	71	0	25	353	286	55	11	216	455	492	7	237	267	42	102	107	103	370	676	326
AARSD1	0	1	0	5	0	0	1	14	2	3	0	8	7	8	3	9	7	2	3	3	4	14	10	4
AASDH	8	0	66	39	0	49	61	61	3	39	0	235	60	65	56	85	17	223	62	56	60	49	31	87
