A1BG	14	0	0	9	2	0	21	0	14	0
A1BG-AS1	0	0	1	2	3	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	1	0
A2M	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	14	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	2	0	4	0	0	0	11	0
A4GALT	377	157	43	469	303	1086	485	581	401	209
A4GNT	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	246	55	110	145	333	276	244	382	260	114
AACS	0	0	3	0	8	7	47	0	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	5	0	0	0	0	0	0
AADACL2-AS1	0	0	0	1	1	0	16	1	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	3	0	0	0
AADAT	0	0	6	2	17	23	0	0	2	0
AAED1	0	5	0	1	2	2	70	4	6	27
AAGAB	58	78	25	41	144	207	87	256	157	35
AAK1	23	10	23	16	45	27	41	114	15	11
AAMDC	73	46	41	115	202	185	202	90	158	81
AAMP	387	299	183	787	705	869	757	884	598	496
AANAT	0	0	0	0	0	0	0	0	0	0
AAR2	97	26	56	431	323	206	175	208	199	70
AARD	0	0	0	0	0	1	0	0	0	0
AARS	38	146	5	29	94	42	27	144	55	24
AARS2	306	97	63	344	297	348	245	298	286	215
AARSD1	5	0	0	2	3	9	12	6	4	3
AASDH	18	0	10	17	65	21	105	55	40	23
AASDHPPT	126	46	23	55	134	247	95	70	119	29
AASS	0	0	1	3	0	28	1	51	26	34
AATF	126	162	47	176	327	284	371	276	195	133
AATK	0	0	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0
ABAT	2	0	2	0	26	18	0	0	17	0
ABCA1	0	0	0	13	33	49	63	29	0	0
ABCA10	0	0	3	0	16	0	0	0	0	0
ABCA11P	0	0	2	5	8	34	0	4	13	0
ABCA12	0	0	0	0	0	0	7	6	0	0
ABCA13	9	0	14	1	2	15	11	23	12	4
ABCA17P	46	13	4	1	28	0	11	30	6	4
ABCA2	0	0	0	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	0	30	0	0	0	13	0
ABCA6	0	0	0	0	0	0	0	0	0	0
ABCA7	45	3	1	0	0	0	0	32	48	0
ABCA8	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	21	0	0	0
ABCB10	19	1	5	16	47	50	34	14	39	0
ABCB11	0	0	0	0	0	0	0	0	0	0
ABCB4	0	1	0	2	0	0	0	0	0	0
ABCB5	1	0	0	0	0	0	0	0	0	0
ABCB6	33	49	51	152	113	273	123	157	185	56
ABCB7	21	37	0	26	30	30	42	47	45	61
ABCB8	119	105	94	285	336	366	211	305	187	55
ABCB9	0	0	4	13	11	0	0	0	0	0
ABCC1	3	0	5	20	11	68	0	0	1	0
ABCC10	31	10	3	76	53	97	18	137	32	0
ABCC11	0	0	0	0	0	34	0	18	1	0
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	4	0	0	0	1	32	8	3
ABCC2	0	0	1	0	18	0	0	19	0	0
ABCC3	0	0	0	0	0	0	0	0	0	0
ABCC4	0	0	3	40	37	71	61	57	71	0
ABCC5	91	57	36	56	306	68	95	191	62	78
ABCC5-AS1	0	0	0	0	1	0	0	0	0	0
ABCC6	0	0	0	0	4	0	14	0	0	0
ABCC6P1	0	0	0	1	3	21	0	0	0	8
ABCC6P2	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0
ABCD1	0	0	0	0	1	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0
ABCD3	55	25	23	127	128	12	121	100	114	39
ABCD4	64	16	51	55	67	53	38	76	33	0
ABCE1	103	87	72	129	281	106	96	194	203	118
ABCF1	208	102	126	317	372	715	267	578	231	262
ABCF2	252	122	255	340	529	388	588	498	262	305
ABCF3	214	135	53	361	170	466	4	429	142	199
ABCG1	0	0	0	0	0	0	0	0	0	0
ABCG2	5	0	0	0	6	0	20	0	22	0
ABCG4	0	31	0	0	8	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	3	0
ABCG8	5	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	1	4	1	0	0
ABHD10	19	21	14	31	45	6	44	84	38	57
