A1BG	0	0	6	0	0	0	0	0	2	1	0	0	0	0	0	7	0	0	0	1	0	0	0
A1BG-AS1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	8
A2M-AS1	0	0	0	7	0	0	0	0	0	0	0	15	0	0	0	31	0	0	0	0	0	0	0
A2ML1	3	1	7	5	0	0	1	0	12	15	35	0	0	0	3	63	1	0	47	0	0	0	100
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	25	5	289	62	232	4	59	42	117	133	107	84	36	0	290	417	2	83	303	6	163	147	274
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	19	10	66	175	108	10	3	1	67	58	99	83	357	8	103	87	24	1	298	41	484	269	540
AACS	12	6	69	83	0	0	181	6	33	40	42	38	0	0	0	450	0	0	179	36	31	13	253
AACSP1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
AADAC	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8
AADACL2-AS1	0	0	0	7	0	0	0	4	2	1	0	0	0	0	0	0	0	0	4	0	0	0	18
AADACL3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	9	2	0	46	8	0	0	0	16	13	30	28	0	0	8	1	0	1	85	23	196	19	25
AAED1	4	0	2	0	0	0	24	0	7	7	16	8	120	0	0	2	1	0	41	1	6	16	73
AAGAB	69	65	369	446	335	9	438	33	134	195	375	151	252	1	105	602	12	12	610	395	698	151	1129
AAK1	81	48	506	237	388	20	287	149	152	243	213	222	266	0	70	1060	7	820	704	328	1497	382	1392
AAMDC	2	5	93	39	28	1	0	21	9	14	46	10	70	6	0	68	2	3	81	6	69	59	83
